品牌,型号,价格（元）,cpu型号,ram容量（gb）,rom容量（gb）,有线充电速度（w）,电池容量(mAh),屏幕刷新率(hz),屏幕分辨率(p),重量(g),前置（万像素）,后置（万像素）,屏幕尺寸（英寸）
荣耀,荣耀Magic5 Pro（16GB/512GB）,5099,高通 骁龙8 Gen2,16,512,66,5450,120,1k,219,1200,5000,6.81
荣耀,荣耀X50i（8GB/256GB）,1499,联发科 天玑6020,8,256,35,4500,90,1k,179,800,10000,6.7
荣耀,荣耀X50i（12GB/256GB）,1599,联发科 天玑6020,12,256,35,4500,90,1k,179,800,10000,6.7
荣耀,荣耀80 GT（12GB/256GB）,2349,高通 骁龙8+ Gen1,12,256,66,4800,120,1k,187,1600,5400,6.67
荣耀,荣耀80 GT（16GB/256GB）,3099,高通 骁龙8+ Gen1,16,256,66,4800,120,1k,187,1600,5400,6.67
荣耀,荣耀80 GT（12GB/512GB）,3049,高通 骁龙8+ Gen1,12,512,66,4800,120,1k,187,1600,5400,6.67
荣耀,荣耀畅玩40（6GB/128GB）,1399,高通 骁龙480 Plus,6,128,10,5200,90,0.5k,188,500,1300,6.56
荣耀,荣耀畅玩40（8GB/128GB）,1599,高通 骁龙480 Plus,8,128,10,5200,90,0.5k,188,500,1300,6.56
荣耀,荣耀畅玩40（8GB/256GB）,1799,高通 骁龙480 Plus,8,256,10,5200,90,0.5k,188,500,1300,6.56
荣耀,荣耀Magic5 Pro至臻版（16GB/512GB）,5999,高通 骁龙8 Gen2,16,512,66,5450,120,1k,217,1200,5000,6.81
荣耀,荣耀Play7T（8GB/128GB）,1099,联发科 天玑6020,8,128,22.5,6000,90,0.5k,196,500,5000,6.74
荣耀,荣耀Play7T（8GB/256GB）,1299,联发科 天玑6020,8,256,22.5,6000,90,0.5k,196,500,5000,6.74
荣耀,荣耀80 Pro 直屏版（12GB/256GB）,3599,高通 骁龙8+ Gen1,12,256,66,4800,120,1k,186,3200,16000,6.78
荣耀,荣耀80 Pro 三体动画限量版（12GB/512GB）,4099,高通 骁龙8+ Gen1,12,512,66,4800,120,1k,188,5000,16000,6.78
荣耀,荣耀Play7T Pro（8GB/128GB）,999,联发科 天玑6020,8,128,40,4000,90,1k,175,500,5000,6.7
荣耀,荣耀Play7T Pro（8GB/256GB）,1128,联发科 天玑6020,8,256,40,4000,90,1k,175,500,5000,6.7
荣耀,荣耀V Purse （16GB/256GB）,5999,高通 骁龙778G,16,256,35,4500,120,2k,214,800,5000,7.71
荣耀,荣耀V Purse （16GB/512GB）,6599,高通 骁龙778G,16,256,35,4500,120,2k,214,800,5000,7.71
iqoo,iQOO Z8(8GB/256GB),1599,联发科 天玑8200,8,256,120,5000,120,1,200,6400,1600,6.64
iqoo,iQOO Z8(12GB/256GB),1799,联发科 天玑8200,12,256,120,5000,120,1,200,6400,1600,6.64
iqoo,iQOO Z8(12GB/512GB),1999,联发科 天玑8200,12,512,120,5000,120,1,200,6400,1600,6.64
iqoo,iQOO 11S（12GB/256GB）,3549,高通 骁龙8 Gen2,12,256,200,4700,144,2,209.5,5000,1600,6.78
iqoo,iQOO 11S（16GB/256GB）,3849,高通 骁龙8 Gen2,16,256,200,4700,144,2,209.5,5000,1600,6.78
iqoo,iQOO 11S（16GB/512GB）,4149,高通 骁龙8 Gen2,16,512,200,4700,144,2,209.5,5000,1600,6.78
iqoo,iQOO 11S（16GB/1TB）,4549,高通 骁龙8 Gen2,16,1024,200,4700,144,2,209.5,5000,1600,6.78
iqoo,iQOO Neo8 Pro（16GB/256GB）,2899,联发科 天玑9200+,16,256,120,5000,144,1,192.3,5000,1600,6.78
iqoo,iQOO Neo8 Pro（16GB/512GB）,3099,联发科 天玑9200+,16,512,120,5000,144,1,192.3,5000,1600,6.78
iqoo,iQOO Neo8 Pro（16GB/1TB）,3399,联发科 天玑9200+,16,1024,120,5000,144,1,192.3,5000,1600,6.78
iqoo,iQOO Neo8（12GB/256GB）,2199,高通 Areno 730,12,256,120,5000,144,1,189.5,5000,1600,6.78
iqoo,iQOO Neo8（12GB/512GB）,2499,高通 Areno 730,12,512,120,5000,144,1,189.5,5000,1600,6.78
iqoo,iQOO Neo8（16GB/512GB）,2699,高通 Areno 730,16,1024,120,5000,144,1,189.5,5000,1600,6.78
iqoo,iQOO Z8x（8GB/128GB）,1199,高通 骁龙6 Gen1,8,128,44,6000,120,1,199.6,5000,800,6.64
iqoo,iQOO Z8x（8GB/256GB）,1299,高通 骁龙6 Gen1,8,256,44,6000,120,1,199.6,5000,800,6.64
iqoo,iQOO Z8x（12GB/256GB）,1499,高通 骁龙6 Gen1,12,256,44,6000,120,1,199.6,5000,800,6.64
iqoo,iQOO Z7（8GB/128GB）,1325,高通 骁龙782G,8,128,120,5000,120,1,201.5,6400,1600,6.64
iqoo,iQOO Z7（8GB/256GB）,1479,高通 骁龙782G,8,256,120,5000,120,1,201.5,6400,1600,6.64
iqoo,iQOO Z7（12GB/256GB）,1698,高通 骁龙782G,12,256,120,5000,120,1,201.5,6400,1600,6.64
iqoo,iQOO Z7x（6GB/128GB）,999,高通 骁龙 695,6,128,80,6000,120,1,205,5000,800,6.64
iqoo,iQOO Z7x（8GB/128GB）,1105,高通 骁龙 695,8,128,80,6000,120,1,205,5000,800,6.64
iqoo,iQOO Z7x（8GB/256GB）,1190,高通 骁龙 695,8,256,80,6000,120,1,205,5000,800,6.64
iqoo,iQOO Neo7 竞速版（8GB/256GB）,2499,高通 骁龙8+ Gen1,8,256,120,5000,120,1,202,5000,1600,6.78
iqoo,iQOO Neo7 竞速版（12GB/256GB）,2799,高通 骁龙8+ Gen1,12,256,120,5000,120,1,202,5000,1600,6.78
iqoo,iQOO Neo7 竞速版（16GB/256GB）,2999,高通 骁龙8+ Gen1,16,256,120,5000,120,1,202,5000,1600,6.78
iqoo,iQOO Neo7 竞速版（16GB/512GB）,3299,高通 骁龙8+ Gen1,16,512,120,5000,120,1,202,5000,1600,6.78
iqoo,iQOO Z7i（4GB/128GB）,749,联发科 天玑6020,4,128,15,5000,60,0.5,186,1300,500,6.51
iqoo,iQOO Z7i（6GB/128GB）,899,联发科 天玑6020,6,128,15,5000,60,0.5,186,1300,500,6.51
iqoo,iQOO Z7i（8GB/128GB）,999,联发科 天玑6020,8,128,15,5000,60,0.5,186,1300,500,6.51
小米,小米13 Ultra（16GB/1TB）,7299,高通 骁龙8 Gen2,16,1024,90,5000,120,2,227,3200,5000,6.73
小米,小米13 Ultra（12GB/256GB）,5999,高通 骁龙8 Gen2,12,256,90,5000,120,2,227,3200,5000,6.73
小米,小米13 Ultra（16GB/512GB）,6499,高通 骁龙8 Gen2,16,512,90,5000,120,2,227,3200,5000,6.73
小米,小米Civi 3（12GB/256GB）,2499,联发科 天玑8200-Ultra,12,256,67,4500,120,1,173.5,3200,5000,6.55
小米,小米Civi 3（12GB/512GB）,2699,联发科 天玑8200-Ultra,12,512,67,4500,120,1,173.5,3200,5000,6.55
小米,小米Civi 3（16GB/1TB）,2999,联发科 天玑8200-Ultra,16,1024,67,4500,120,1,173.5,3200,5000,6.55
小米,小米MIX FOLD 3（12GB/256GB）,8999,高通 骁龙8 Gen2,12,256,67,4800,120,2,259,2000,5000,8.03
小米,小米MIX FOLD 3（16GB/512GB）,9999,高通 骁龙8 Gen2,16,512,67,4800,120,2,259,2000,5000,8.03
小米,小米MIX FOLD 3（16GB/1TB）,10999,高通 骁龙8 Gen2,16,1024,67,4800,120,2,259,2000,5000,8.03
小米,小米13 限量定制版（12GB/512GB）,4999,高通 骁龙8 Gen2,12,512,67,4500,120,1,189,3200,5400,6.36
一加, 一加Ace 2 Pro（12GB/256GB）,2899,高通 骁龙8 Gen2,12,256,150,5000,120,4k,210,1600,5000,6.74
一加, 一加Ace 2 Pro（16GB/512GB）,3199,高通 骁龙8 Gen2,16,512,150,5000,120,4k,210,1600,5000,6.74
一加, 一加Ace 2 Pro（24GB/1TB）,4099,高通 骁龙8 Gen2,24,1024,150,5000,120,4k,210,1600,5000,6.74
一加, 一加Ace 2（12GB/256GB）,2699,高通 骁龙8+ Gen1,12,256,100,5000,120,1k,204,1600,5000,6.74
一加,一加Ace 2（16GB/256GB）,2799,高通 骁龙8+ Gen1,16,256,100,5000,120,1k,204,1600,5000,6.74
一加,一加Ace 2（16GB/256GB,3199,高通 骁龙8+ Gen1,16,512,100,5000,120,1k,204,1600,5000,6.74
一加,一加Ace 2V（12GB/256GB）,2149,联发科 天玑9000,12,256,80,5000,120,1k,191.5,1600,6400,6.74
一加,一加Ace 2V（16GB/256GB）,2349,联发科 天玑9000,16,256,80,5000,120,1k,191.5,1600,6400,6.74
一加,一加Ace 2V（16GB/512GB）,2599,联发科 天玑9000,16,512,80,5000,120,1k,191.5,1600,6400,6.74
一加,一加Ace 2V（16GB/1TB）,2749,联发科 天玑9000,16,1024,80,5000,120,1k,191.5,1600,6400,6.74
一加,一加11（12GB/256GB）,4199,高通 骁龙8 Gen2,12,256,100,5000,120,2k,205,1600,5000,6.7
一加,一加11（16GB/256GB）,4389,高通 骁龙8 Gen2,16,256,100,5000,120,2k,205,1600,5000,6.7
一加,一加11（16GB/512GB）,4899,高通 骁龙8 Gen2,16,512,100,5000,120,2k,205,1600,5000,6.7
魅族,魅族20 Pro（12GB/128GB）,3999,高通 骁龙8 Gen2,12,128,80,5000,120,2,209,3200,5000,6.81
魅族,魅族20 Pro （12GB/256GB）,4399,高通 骁龙8 Gen2,12,256,80,5000,120,2,209,3200,5000,6.81
魅族,魅族20 Pro （12GB/512GB）,4799,高通 骁龙8 Gen2,12,512,80,5000,120,2,209,3200,5000,6.81
魅族,魅族20（12GB/128GB）,2999,高通 骁龙8 Gen2,12,128,67,4700,120,1,190,3200,5000,6.55
魅族,魅族20 （12GB/256GB）,3399,高通 骁龙8 Gen2,12,256,67,4700,120,1,190,3200,5000,6.55
魅族,魅族20 （12GB/512GB）,3799,高通 骁龙8 Gen2,12,512,67,4700,120,1,190,3200,5000,6.55
真我,真我GT  150W（8GB/256GB） ,2499,高通 骁龙8+ Gen1（降频版）,8,256,150,5000,144,1.5k,199,1600,5000,6.74
真我,真我GT5 150W （12GB/256GB）,2999,高通 骁龙8 Gen2,12,256,150,5240,144,1.5k,205,1600,5000,6.74
真我,真我11 Pro+（12GB/256GB）,2099,联发科 天玑7050,12,256,100,5000,120,1k,189,3200,20000,6.7
真我,真我GT Neo5 SE（8GB/256GB）,1999,高通 骁龙7+ Gen2,8,256,100,5500,144,1.5k,193.1,1600,6400,6.74
真我,真我GT5 240W （24GB/1TB）,3799,高通 骁龙8 Gen2,24,1024,240,4600,144,1.5k,205,1600,5000,6.74
真我,真我GT Neo5 150W（12GB/256GB）,2699,高通 骁龙8+ Gen1（降频版）,12,256,150,5000,144,1.5k,199,1600,5000,6.74
真我,真我GT Neo5 SE （16GB/1TB）,2599,高通 骁龙7+ Gen2,16,1024,100,5500,144,1.5k,193.1,1600,6400,6.74
真我,真我GT Neo5 SE （12GB/256GB）,2199,高通 骁龙7+ Gen2,12,256,100,5500,144,1.5k,193.1,1600,6400,6.74
真我,真我11 Pro（8GB/256GB）,1699,联发科 天玑7050,8,256,67,5000,120,1k,191,1600,10000,6.7
真我,真我GT Neo5 240W（16GB/1TB）,3499,高通 骁龙8+ Gen1（降频版）,16,1024,240,4600,144,1.5k,199,1600,5000,6.74
真我,真我11（8GB/256GB）,1599,联发科 天玑6020,8,256,33,5000,90,2k,183,800,6400,6.43
真我,真我GT5 150W （16GB/512GB）,3299,高通 骁龙8 Gen2,16,512,150,5240,144,1.5k,205,1600,5000,6.74
真我,真我GT Neo5 150W（16GB/1TB ）,3099,高通 骁龙8+ Gen1（降频版）,16,1024,150,5000,144,1.5k,199,1600,5000,6.74
真我,真我V30（6GB/128GB）,1099,联发科 天玑700,6,128,10,5000,60,0.5k,186,500,1300,6.5
真我,真我GT Neo5 150W（16GB/512GB）,3199,高通 骁龙8+ Gen1（降频版）,16,512,150,5000,144,1.5k,199,1600,5000,6.74
真我,真我V30t（6GB/128GB）,1299,联发科 天玑700,6,128,10,5000,60,0.5k,186,500,1300,6.5
真我,真我11 Pro+（12GB/512GB）,2399,联发科 天玑7050,12,512,100,5000,120,1k,189,3200,20000,6.7
真我,真我11（12GB/256GB）,1799,联发科 天玑6020,12,256,33,5000,90,1k,183,800,6400,6.43
真我,真我V30（8GB/128GB）,1299,联发科 天玑700,8,128,10,5000,60,0.5k,186,500,1300,6.5
真我,真我11 Pro（12GB/512GB）,2199,联发科 天玑7050,12,512,67,5000,120,1k,191,1600,10000,6.7
真我,真我11 Pro（12GB/256GB）,1999,联发科 天玑7050,12,256,67,5000,120,1k,191,1600,10000,6.7
努比亚,努比亚Z50S Pro（12GB/256GB）,3699,高通 骁龙8 Gen2,12,256,80,5100,120,1,228,1600,5000,6.78
努比亚,努比亚Z50 Ultra（8GB/256GB）,3799,高通 骁龙8 Gen2,8,256,80,5000,120,1,228,1600,6400,6.8
努比亚,努比亚红魔8S PRO+（16GB/256GB),5699,高通 骁龙8 Gen2,16,256,165,5000,120,1,230,1600,5000,6.8
努比亚,努比亚红魔8S PRO（8GB/128GB）,3999,高通 骁龙8 Gen2,8,128,80,6000,120,1,228,1600,5000,6.8
努比亚,努比亚Z50 Ultra（12GB/512GB）,4699,高通 骁龙8 Gen2,12,512,80,5000,120,1,228,1600,6400,6.8
努比亚,努比亚Z50S Pro（12GB/1TB）,3999,高通 骁龙8 Gen2,12,1024,80,5100,120,1,228,1600,5000,6.78
努比亚,努比亚Z50 Ultra（12GB/256GB）,4299,高通 骁龙8 Gen2,12,256,80,5000,120,1,228,1600,6400,6.8
努比亚,努比亚红魔8S PRO+（24GB/1TB),7499,高通 骁龙8 Gen2,24,1024,165,5000,120,1,230,1600,5000,6.8
努比亚,努比亚Z50 Ultra（16GB/1TB),5999,高通 骁龙8 Gen2,16,1024,80,5000,120,1,228,1600,6400,6.8
努比亚,努比亚Z50 Ultra 摄影师版（16GB/512GB）,4799,高通 骁龙8 Gen2,16,512,80,5000,120,1,228,1600,6400,6.8
努比亚,努比亚Z50S Pro（16GB/1TB),4399,高通 骁龙8 Gen2,16,1024,80,5100,120,1,228,1600,5000,6.78
努比亚,努比亚Z50S Pro 拾光之镜版（16GB/1TB,4499,高通 骁龙8 Gen2,16,1024,80,5100,120,1,228,1600,5000,6.78
努比亚,努比亚Z50 Ultra 星空典藏版（12GB/512GB,4999,高通 骁龙8 Gen2,12,512,80,5000,120,1,228,1600,6400,6.8
努比亚,努比亚Z50S Pro 拾光之镜版（12GB/1TB,4099,高通 骁龙8 Gen2,12,1024,80,5100,120,1,228,1600,5000,6.78
努比亚,努比亚红魔8 PRO+ 变形金刚领袖版（16GB/512GB,6499,高通 骁龙8 Gen2,16,512,80,5000,120,1,230,1600,5000,6.8
努比亚,努比亚红魔8S PRO（12GB/512GB）,5499,高通 骁龙8 Gen2,12,512,80,6000,120,1,228,1600,5000,6.8
努比亚,努比亚红魔8S PRO（12GB/256GB,4799,高通 骁龙8 Gen2,12,256,80,6000,120,1,228,1600,5000,6.8
努比亚,努比亚Z50 中国红兔年限定版（12GB/512GB）,4199,高通 骁龙8 Gen2,12,512,80,5000,120,1,197,1600,6400,6.67
努比亚,努比亚红魔8S PRO+（16GB/512GB）,5999,高通 骁龙8 Gen2,16,512,165,5000,120,1,230,1600,5000,6.8
努比亚,努比亚Z50 山系生活版（12GB/256GB ,3199,高通 骁龙8 Gen2,12,256,80,5000,144,1,199,1600,6400,6.67
努比亚,努比亚Z50（16GB/256GB）,3699,高通 骁龙8 Gen2,16,256,80,5000,144,1,199,1600,6400,6.67
努比亚,努比亚红魔8S PRO+（16GB/1TB,6999,高通 骁龙8 Gen2,16,1024,165,5000,120,1,230,1600,5000,6.8
努比亚,努比亚红魔8S PRO（8GB/256GB,4399,高通 骁龙8 Gen2,8,256,80,6000,120,1,228,1600,5000,6.8
努比亚,努比亚红魔8S PRO+ 大黄蜂超能勇士典藏版（16GB/512GB,6499,高通 骁龙8 Gen2,16,512,165,5000,120,1,230,1600,5000,6.8
努比亚,努比亚红魔8S PRO 氘锋透明版（12GB/512GB）,5699,高通 骁龙8 Gen2,12,512,80,6000,120,1,228,1600,5000,6.8
努比亚,努比亚红魔8 PRO 明日之后联名款（12GB/256GB）,4799,高通 骁龙8 Gen2,12,256,80,6000,120,1,228,1600,5000,6.8
努比亚,努比亚红魔8S PRO 氘锋透明版（12GB/256GB）,4999,高通 骁龙8 Gen2,12,256,80,6000,120,1,228,1600,5000,6.8
努比亚,努比亚N5（4GB/128GB）,1499,展讯T7520,4,128,无,5000,90,0.5,196.5,500,1300,6.517
努比亚,努比亚N5（6GB/125GB,1699,展讯T7520,6,128,无,5000,90,0.5,196.5,500,1300,6.517
红米,Redmi K60至尊版（12GB/256GB）,2599,联发科 天玑9200+,12,256,120,5000,144,1,204,5000,2000,6.67
红米,Redmi Note 12 Turbo（12GB/256GB）,2099,高通 骁龙7+ Gen2,12,256,67,5000,120,1,181,6400,1600,6.67
红米,Redmi Note 13（6GB/128GB）,1099,联发科 天玑6080,6,128,33,5000,120,1,173.5,10000,1600,6.67
红米,Redmi Note 12T Pro（8GB/256GB）,1699,联发科 天玑8200-Ultra,8,256,67,5080,144,1,200,6400,1600,6.6
红米,Redmi Note12 Turbo（8GB/256GB）,1999,高通 骁龙7+ Gen2,8,256,67,5000,120,1,181,6400,1600,6.67
红米,Redmi Note 13 Pro（8GB/128GB）,1399,高通 Adreno 710,8,128,67,5100,120,1,187,20000,1600,6.67
红米,Redmi Note 12 Turbo（16GB/1TB）,2599,高通 骁龙7+ Gen2,16,1024,67,5000,120,1,181,6400,1600,6.67
红米,Redmi Note 13 Pro+（12GB/256GB）,1899,联发科 天玑 7200-Ultra,12,256,120,5000,120,1,204.5,20000,1600,6.67
红米,Redmi Note 12 Turbo（12GB/512GB）,2299,高通 骁龙7+ Gen2,12,512,67,5000,120,1,181,6400,1600,6.67
红米,Redmi Note 12T Pro（12GB/256GB）,1799,联发科 天玑8200-Ultra,12,256,67,5080,144,1,200,6400,1600,6.6
红米,Redmi 12C（4GB/64GB）,699,联发科 Helio G85,4,64,10,5000,60,0.5,192,5000,500,6.71
红米,Redmi K60至尊版（16GB/512GB）,3299,联发科 天玑9200+,16,512,120,5000,144,1,204,5000,2000,6.67
红米,Redmi Note 12T Pro（12GB/512GB）,1999,联发科 天玑8200-Ultra,12,512,67,5080,144,1,200,6400,1600,6.6
红米,Redmi Note 12R（4GB/128GB）,999,高通 骁龙4 Gen2,4,128,18,5000,90,1,199,5000,500,6.79
红米,Redmi K60至尊版（24GB/1TB）,3599,联发科 天玑9200+,24,1024,120,5000,144,1,204,5000,2000,6.67
红米,Redmi K60至尊版（16GB/256GB）,2799,联发科 天玑9200+,16,256,120,5000,144,1,204,5000,2000,6.67
红米,Redmi K60（16GB/1TB）,3599,高通 骁龙8+ Gen1,16,1024,67,5500,120,2,204,6400,1600,6.67
红米,Redmi K60（16GB/256GB）,2999,高通 骁龙8+ Gen1,16,256,67,5500,120,2,204,6400,1600,6.67
红米,Redmi K60至尊版（12GB/256GB）,2999,联发科 天玑9200+,12,256,120,5000,144,1,204,5000,2000,6.67
红米,红米Note 12T Pro（8GB/128GB）,1260,联发科 天玑8200-Ultra,8,128,67,5080,144,1,200,6400,1600,6.6
红米,Redmi 12 5G（6GB/128GB）,999,高通 骁龙4 Gen2,6,128,18,5000,90,1,199,5000,500,6.79
红米,Redmi Note 12R（6GB/128GB）,1099,高通 骁龙4 Gen2,6,128,18,5000,90,1,199,5000,500,6.79
红米,Redmi Note 12 Turbo（8GB/128GB）,1799,高通 骁龙7+ Gen2,8,128,67,5000,120,1,181,6400,1600,6.67
红米,Redmi 12C（6GB/128GB）,899,联发科 Helio G85,6,128,10,5000,60,0.5,192,5000,500,6.71
红米,Redmi Note 12R Pro（12GB/256GB,1999,高通 骁龙778G,12,256,67,5000,120,1,181,10000,1600,6.67
红米,Redmi Note 12 Turbo 哈利·波特版（12GB/256GB）,2399,高通 骁龙7+ Gen2,12,256,67,5000,120,1,181,6400,1600,6.67
红米,Redmi Note 12R（8GB/128GB）,1499,高通 骁龙4 Gen2,8,128,18,5000,90,1,199,5000,500,6.79
红米,Redmi Note 12R（8GB/256GB）,1799,高通 骁龙4 Gen2,8,256,18,5000,90,1,199,5000,500,6.79
红米,Redmi Note 13 Pro（16GB/512GB）,1999,高通第二代骁龙 7s ,16,512,67,5100,120,1,187,20000,1600,6.67
红米,Redmi Note 13 Pro+（16GB/512GB）,2199,联发科 天玑 7200-Ultra,16,512,120,5000,120,1,204.5,20000,1600,6.67
红米,Redmi 12 5G （8GB/256GB）,1299,高通 骁龙4 Gen2,8,256,18,5000,90,1,199,5000,500,6.79
红米,Redmi 12C（4GB/128GB）,799,联发科 Helio G85,4,128,10,5000,60,0.5,192,5000,500,6.71
红米,Redmi 12 5G （8GB/128GB）,1099,高通 骁龙4 Gen2,8,128,18,5000,90,1,199,5000,500,6.79
红米,Redmi Note 13 Pro+（12GB/512GB）,2099,联发科 天玑 7200-Ultra,12,512,120,5000,120,1,204.5,20000,1600,6.67
红米,Redmi Note 13 Pro（12GB/512GB）,1899,高通第二代骁龙 7s ,12,512,67,5100,120,1,187,20000,1600,6.67
红米,Redmi Note 13（12GB/256GB）,1599,联发科 天玑6080,12,256,33,5000,120,1,173.5,10000,1600,6.67
红米,Redmi Note 13 Pro（12GB/256GB）,1699,高通第二代骁龙 7s ,12,256,67,5100,120,1,187,20000,1600,6.67
红米,Redmi Note 13 Pro+（16GB/512GB/Aape潮流限定版）,2199,联发科 天玑 7200-Ultra,16,512,120,5000,120,1,204.5,20000,1600,6.67
红米,Redmi Note 13 Pro（8GB/256GB）,1499,高通第二代骁龙 7s ,8,256,67,5100,120,1,187,20000,1600,6.67
红米,Redmi Note 13（8GB/128GB）,1199,联发科 天玑6080,8,128,33,5000,120,1,173.5,10000,1600,6.67
红米,Redmi Note 13（8GB/256GB）,1399,联发科 天玑6080,8,256,33,5000,120,1,173.5,10000,1600,6.67
